H1  ;H1 ;NO ;NO ;WE ;WEGS;S2S;NO  ;NO ;NO ;NO ;NO ;NO  ;H2 ;H2
H1  ;H1 ;NO ;NO ;WN ;G2S ;WS ;NO  ;NO ;NO ;NO ;NO ;NO  ;H2 ;H2
NO  ;NO ;NO ;NO ;WN ;G2S ;WS ;NO  ;NO ;NO ;NO ;NO ;NO  ;NO ;NO
NO  ;NO ;NO ;NO ;WN ;G2S ;WS ;NO  ;NO ;NO ;NO ;NO ;NO  ;NO ;NO
S1E ;WE ;WE ;WE ;WN ;G2  ;WE ;WE  ;WE ;WE ;WE ;WE ;WE  ;WE ;WS
WNGE;G1E;G1E;G1E;G1 ;NO  ;G3 ;G3W ;G3W;G3W;G3W;G3W;G3W ;G3W;WSGW
WN  ;WW ;WW ;WW ;WW ;NO  ;WS ;WW  ;WW ;NO ;WS ;WW ;WW  ;WW ;S3W
NO  ;NO ;NO ;NO ;WN ;G4  ;WS ;NO  ;WN ;NO ;WS ;NO ;NO  ;NO ;NO
NO  ;NO ;NO ;NO ;WN ;G4N ;WS ;NO  ;WN ;NO ;WS ;NO ;NO  ;H3 ;H3
NO  ;NO ;NO ;NO ;WN ;G4N ;WS ;NO  ;WN ;WW ;WW ;NO ;NO  ;H3 ;H3
H4  ;H4 ;NO ;NO ;WN ;G4N ;WS ;NO  ;NO ;NO ;NO ;NO ;NO  ;H3 ;H3
H4  ;H4 ;NO ;NO ;S4N;WWGN;WW ;NO  ;NO ;NO ;NO ;NO ;NO  ;H3 ;H3
